Name,Resource URL,Resource Type,Base Tool
Airtable Template v3.3 | Content Automation OS | Airtable for BigMoves,https://airtable.com/appkd19SsfV9svlIN/shrp4ClnurqRdMYzF,Airtable: Members Resources Links,Airtable
N8N - [v3.2_COS-3.0] Content Creator - Blogpost Trigger | Content Automation OS | Airtable for BigMoves,https://drive.google.com/uc?export=download&id=1D2oxtRC74-E2im8zBNPhkH7GqP2c5Eme,Airtable: Members Resources Links,Airtable
N8N - [v3.2_COS-3.0] Content Creator | AI Image Generator | Content Automation OS | Airtable for BigMoves,https://drive.google.com/uc?export=download&id=13B1HN4xdf32XOxWrwAWk1Mxu99sxb4p_,Airtable: Members Resources Links,Airtable
N8N - [v3.2_COS-3.0] Content Creator Trigger  | Content Automation OS | Airtable for BigMoves,https://drive.google.com/uc?export=download&id=1nZO-nBS0XZDIlLQDMC0e2uztA2wh3pvV,Airtable: Members Resources Links,Airtable
N8N - [v3.2_COS-3.0] AI Output | Image Generator.json | Content Automation OS | Airtable for BigMoves,https://drive.google.com/uc?export=download&id=17C8uOJGihLqm5jRuEEaKOntqE-z2X_Fv,Airtable: Members Resources Links,Airtable
