path                                               | HEAD         | behind    | dirty  
PMOVES-transcribe-and-fetch                        | 87059d5      | 13        | n      
PMOVES-transcribe-and-fetch/PMOVES-Archon          | uninit       | 13        | n      
PMOVES-transcribe-and-fetch/docs/Seed1.5-VL        | uninit       | 13        | n      
PMOVES-transcribe-and-fetch/github-mcp-server      | uninit       | 13        | n      
PMOVES-transcribe-and-fetch/pmoves-ottomator-agent | uninit       | 13        | n      
PMOVES.YT                                          | b98f2d1      | 0         | n      
Pmoves-AgentGym-RL                                 | a159ee0      | 0         | n      
Pmoves-AgentGym-RL/AgentGym                        | uninit       | 0         | n      
Pmoves-Health-wger                                 | 341c7e0      | 0         | n      
Pmoves-Jellyfin-AI-Media-Stack                     | 1ff8963      | 0         | n      
Pmoves-cipher                                      | c4f8348      | 0         | n      
Pmoves-hyperdimensions                             | 5ec35cb      | 0         | y      
pmoves-e2b-mcp-server                              | 599530e      | 0         | n      
pmoves/integrations/archon                         | f4bd252      | 1         | n      
pmoves/integrations/archon/external/PMOVES-Agent-Z | uninit       | 1         | n      
pmoves/integrations/archon/external/PMOVES-BoTZ    | uninit       | 1         | n      
pmoves/integrations/archon/external/PMOVES-Deep-Se | uninit       | 1         | n      
pmoves/integrations/archon/external/PMOVES-HiRAG   | uninit       | 1         | n      
pmoves/integrations/archon/pmoves_multi_agent_pro_ | uninit       | 1         | n      
pmoves/integrations/archon/pmoves_multi_agent_pro_ | uninit       | 1         | n      
pmoves/integrations/archon/pmoves_multi_agent_pro_ | uninit       | 1         | n      
skills/PMOVES-agent-sandbox-skill                  | uninit       | 2         | y      
skills/PMOVES-awesome-agent-skills                 | uninit       | 2         | y      
skills/Pmoves-claude-d3js-skill                    | uninit       | 2         | y      
skills/Pmoves-skills                               | uninit       | 2         | y      
skills/pmoves-fork-repository-skill                | uninit       | 2         | y      

(informational — exits 0 regardless of drift)
