"image","status","exit_code","log"
"agent-zero","FAIL","1","pmoves/docs/logs/ghcr-local-prepublish/agent-zero-2026-03-05.log"
"archon","FAIL","1","pmoves/docs/logs/ghcr-local-prepublish/archon-2026-03-05.log"
"firefly-iii","PASS","0","pmoves/docs/logs/ghcr-local-prepublish/firefly-iii-2026-03-05.log"
"jellyfin","PASS","0","pmoves/docs/logs/ghcr-local-prepublish/jellyfin-2026-03-05.log"
"pmoves-yt","FAIL","1","pmoves/docs/logs/ghcr-local-prepublish/pmoves-yt-2026-03-05.log"
"deepresearch","FAIL","1","pmoves/docs/logs/ghcr-local-prepublish/deepresearch-2026-03-05.log"
"supaserch","PASS","0","pmoves/docs/logs/ghcr-local-prepublish/supaserch-2026-03-05.log"
